"OB","KODE_OBJECT","NAMA","HARGA_SATUAN"
"OB","00001","Renz 1/2 Kocher ","12250.655737704918"
"OB","00002","Abdominal Binder 2160 UK. L OPPO","315000.0"
"OB","00003","Abdominal  Binder 2162 UK.S OPPO","225000.0"
"OB","00004","Abdominal  Support 2060 UK. L OPPO","270000.0"
"OB","00005","Accu-Chek ACT Non KIT MG Roche","450000.0"
"OB","00006","Asepti  GeL 500ML OM","24963.0"
"OB","00007","Acne FC Creamwash Rohto","11250.0"
"OB","00008","Acen  FC Sealing Gel 9 gr Rohto","13850.0"
"OB","00009","Acyclovir 200 mg Indo","34372.65"
"OB","00010","Albothyl 5 ml Pharos","19800.0"
"OB","00011","Albothyl Conc 10ml Pharos","28000.0"
"OB","00012","Alkohol  70 % 100 ml NBF ","4752.298979883413"
"OB","00013","Alkohol  70% 1000 ml Lokal","29700.0"
"OB","00014","Alkohol  70% 200 ml NBF","5764.0"
"OB","00015","Alkohol  70% @ 1 Ltr Brataco","22727.0"
"OB","00016","Alkohol Pads Avico","7000.0"
"OB","00017","Allupurinol Tab 100mg Inaf","17220.862439024393"
"OB","00018","Alpara Kaplet Molex Ayus","71000.0"
"OB","00019","Alphamol Liquid Molex Ayus","5175.0"
"OB","00020","Alumunium Seat Can Shima","135000.0"
"OB","00021","Amlodipin 10 mg Tablet Inaf","46136.0"
"OB","00022","Amoniak 20cc","4000.0"
"OB","00023","Amoxicilin 500mg Inaf","33603.0"
"OB","00024","Ankle Support  1001 UK L Oppo","79000.0"
"OB","00025","Ankle Support 1001 UK M Oppo","79000.0"
"OB","00026","Antasida Doen Erita","62827.0"
"OB","00027","Apolar - N Cream  10 GR Actavis","32000.0"
"OB","00028","Appron Plastik Jantra","2332.5"
"OB","00029","aqua Bidest 500cc Ikapharmindo","32000.0"
"OB","00030","AQUADEST 100 ML","491.88"
"OB","00031","Renz Arteri Kleam Pean Bengkok 12,5 CM","14025.0"
"OB","00032","ARTERY  KOCHER BENGKOK 14 CM","17000.0"
"OB","00033","ARTERY  PEAN CLEAM BENGKOK 18CM","15000.0"
"OB","00034","ARTERY CLEAM PEAN LURUS 14 CM","15720.77922077922"
"OB","00035","ASPAR - K","204360.0"
"OB","00036","ASTHENOF ED MINIDOSE 0.3 ML","16995.90062111801"
"OB","00037","AUGENTONIC MINIDOSE 0.3 ML","15284.024543211724"
"OB","00038","BABY SCALE KAPASITAS 7 KG","250000.0"
"OB","00039","BABY SCALE RGZ 20A","290909.0"
"OB","00040","BAJU KANGURU","0.0"
"OB","00041","BAK INSTRUMEN 508 SS LOKAL","40000.0"
"OB","00042","BAK INSTRUMENT 52X32X10","32000.0"
"OB","00043","BAK INSTRUMENT SH-509","35455.0"
"OB","00044","BALON ECG","64000.0"
"OB","00045","BALON TENSIMETER","165000.0"
"OB","00046","BANTAL KESEHATAN","15000.0"
"OB","00047","TIMBANGAN INJAK 120 Kg Gea","75455.0"
"OB","00048","BEAKER GLASS 10 ML","11591.0"
"OB","00049","BEAKER GLASS 1000ML","84150.0"
"OB","00050","BEAKER GLASS 30 ML","12955.0"
"OB","00051","BEAKER GLASS 500ML","40000.0"
"OB","00052","BEDAK KOCOK","23000.0"
"OB","00053","BENOSON CREAM 15GR","13000.0"
"OB","00054","BEVALEX KRIM","7750.0"
"OB","00055","BIOPLACENTON JELLY 15 GR","10000.0"
"OB","00056","BLOOD ADM/ GIVIN G SET","15338.359497645211"
"OB","00057","BLOOD LANCET ( BD )","5060.0"
"OB","00058","BLOOD LANCET 28G","14885.64705882353"
"OB","00059","BLOOD PRESSURE MONT HEM 7117","347700.0"
"OB","00060","BLOOD TRANFUSION","10000.0"
"OB","00061","BLOOD TRANSFUSION SET ( AVICO )","10000.0"
"OB","00062","BODREX TABLET NEW","5350.0"
"OB","00063","BOILING FLASK FLAT.B 100 ML","54545.0"
"OB","00064","BOLA LAMPU FOTO TERAPY UM","95000.0"
"OB","00065","BONE PLATES","772727.0"
"OB","00066","BORAK GLISERIN 16 ML","2272.75"
"OB","00067","BOTOL 300 CC","700.0"
"OB","00068","BOUFANT CAP/TOPI OPRS WANITA","120000.0"
"OB","00069","HOSPILAB BOUFANT NURSE CAP GREEN (H-231)","61875.0"
"OB","00070","BOX OBJECT GLASS","20000.0"
"OB","00071","BREKET","8795.050505050505"
"OB","00072","BROMTHYMOL BLUE INDIKATOR ( MERCK )","150000.0"
"OB","00073","BROSS CUCI TABUNG","6082.42424"
"OB","00074","BROSS CUCI TANGAN","6000.0"
"OB","00075","BUKBASTIK","970.0"
