"FK","KD_JENIS_TRANSAKSI","FG_PENGGANTI","NOMOR_FAKTUR","MASA_PAJAK","TAHUN_PAJAK","TANGGAL_FAKTUR","NPWP","NAMA","ALAMAT_LENGKAP","JUMLAH_DPP","JUMLAH_PPN","JUMLAH_PPNBM","ID_KETERANGAN_TAMBAHAN","FG_UANG_MUKA","UANG_MUKA_DPP","UANG_MUKA_PPN","UANG_MUKA_PPNBM","REFERENSI"
"LT","NPWP","NAMA","JALAN","BLOK","NOMOR","RT","RW","KECAMATAN","KELURAHAN","KABUPATEN","PROPINSI","KODE_POS","NOMOR_TELEPON","","","","",""
"OF","KODE_OBJEK","NAMA","HARGA_SATUAN","JUMLAH_BARANG","HARGA_TOTAL","DISKON","DPP","PPN","TARIF_PPNBM","PPNBM","","","","","","","",""
"FK","2","0","0000000000100","7","2019","2019-01-02","01.800.552.0-201.000","SEMEN PADANG HOSPITAL","Jl. By Pass Km 7 RT 07 RW 04 Pisang Pauh","2.82E7","2820000.0","0","","0","0","0","0","19.000001"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00173","FILM DI-HL 26X36","4600000.0","3","1.38E7","0.0","1.38E7","1380000.0","0","0","","","","","","","",""
"OF","01041","FILM DI-HL 35X43","4800000.0","3","1.44E7","0.0","1.44E7","1440000.0","0","0","","","","","","","",""
"FK","2","0","0000000000101","7","2019","2019-01-02","72.706.314.1-216.000","PT.KEMILAU RAJAWALI PERKASA","Jl.Durian No.18B Labuh Baru Timur Pekan Baru
","2728000.0","272800.0","0","","0","0","0","0","19.000002"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00346","MASKER SOLAMASK","34100.0","80","2728000.0","0.0","2728000.0","272800.0","0","0","","","","","","","",""
"FK","2","0","0000000000102","7","2019","2019-01-02","31.690.896.1-202.000","DR. LAILA KHAIRANI (PT.Al-Ihsan Husada)","Klinik Al IKHSAN Depan Spbu Pertamina Simp.4 PasBar","5687500.0","568750.0","0","","0","0","0","0","19.000003"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02110","Kassa Hydrofile Surgidress 40yardx80cm","227500.0","25","5687500.0","0.0","5687500.0","568750.0","0","0","","","","","","","",""
"FK","2","0","0000000000103","7","2019","2019-01-02","-","RSI SITI RAHMAH","Jl. Raya By Pass KM 15 Air Pacah Padang","346800.0","34680.0","0","","0","0","0","0","19.000004"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00246","ID BRACELET ADULT YELLOW HOSPILAB","204000.0","2","408000.0","61200.0","346800.0","34680.0","0","0","","","","","","","",""
"FK","2","0","0000000000104","7","2019","2019-01-02","01.800.685.8-201.000","PT. MEDISIA SAINSINDO","Jln. S. Parman No. 206 Padang ","3446400.0","344640.0","0","","0","0","0","0","19.000005"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","00069","HOSPILAB BOUFANT NURSE CAP GREEN (H-231)","99000.0","20","1980000.0","396000.0","1584000.0","158400.0","0","0","","","","","","","",""
"OF","00548","SURGEON CAP GREEN H-332","116400.0","20","2328000.0","465600.0","1862400.0","186240.0","0","0","","","","","","","",""
"FK","2","0","0000000000105","7","2019","2019-01-02","06.979.103.6-201.000","CITRA SWALAYAN ADINEGORO ( GUSPARDI GAUS )","Adinegoro Tabing Padang","425421.0","42542.1","0","","0","0","0","0","19.000006"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","3","47730.0","0.0","47730.0","4773.0","0","0","","","","","","","",""
"OF","02174","Nosy HS Btl Antibacterial 420ml Apple","17345.0","3","52035.0","0.0","52035.0","5203.5","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","12","59568.0","0.0","59568.0","5956.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"OF","02439","BDL Bengkoang Body Lotion 600ml","18300.0","3","54900.0","0.0","54900.0","5490.0","0","0","","","","","","","",""
"OF","02741","BDL Sulfur Soap 60gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"FK","2","0","0000000000106","7","2019","2019-01-02","07.497.793.5-201.000","CITRA SWALAYAN GN. PANGILUN ( NEDIA FITRI )","Jl. Gn. Pangilun Padang","671988.0","67198.8","0","","0","0","0","0","19.000007"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
"OF","02168","Bio Placenta HBL With Goats Milk 500ml","15910.0","3","47730.0","0.0","47730.0","4773.0","0","0","","","","","","","",""
"OF","02170","Bio Placenta Body Lotion pink 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02171","Bio Placenta Body Lotion Green Tea 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02172","Bio Placenta Body Lotion Orange 500ml","14910.0","3","44730.0","0.0","44730.0","4473.0","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","12","59568.0","0.0","59568.0","5956.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","12","54540.0","0.0","54540.0","5454.0","0","0","","","","","","","",""
"OF","02182","Bio Placenta Body  Lotion Kuning 200ml","6730.0","6","40380.0","0.0","40380.0","4038.0","0","0","","","","","","","",""
"OF","02183","Bio Placenta Body  Lotion Orange 200ml","6730.0","6","40380.0","0.0","40380.0","4038.0","0","0","","","","","","","",""
"OF","02195","Nosy HS  Pouch 420ml Lemon","13882.0","3","41646.0","0.0","41646.0","4164.6","0","0","","","","","","","",""
"OF","02217","Nosy HS  Pouch 420ml Strawberry","13882.0","3","41646.0","0.0","41646.0","4164.6","0","0","","","","","","","",""
"OF","02439","BDL Bengkoang Body Lotion 600ml","18300.0","3","54900.0","0.0","54900.0","5490.0","0","0","","","","","","","",""
"OF","02440","BDL Papaya Body Lotion 600ml","18300.0","3","54900.0","0.0","54900.0","5490.0","0","0","","","","","","","",""
"FK","2","0","0000000000107","7","2019","2019-01-02","660402777201000","ADINEGORO SWALAYAN (Mierantie)","Lubuk Buaya Padang","1118102.4","111810.2","0","","0","0","0","0","19.000008"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","48","408432.0","20421.6","388010.4","38801.0","0","0","","","","","","","",""
"OF","02174","Nosy HS Btl Antibacterial 420ml Apple","17345.0","3","52035.0","0.0","52035.0","5203.5","0","0","","","","","","","",""
"OF","02177","BDL Papaya Soap With Vit ACE 90gr","4964.0","48","238272.0","11913.6","226358.4","22635.8","0","0","","","","","","","",""
"OF","02179","BDL Papaya Soap With Vit ACE 60 gr","4545.0","48","218160.0","10908.0","207252.0","20725.2","0","0","","","","","","","",""
"OF","02217","Nosy HS  Pouch 420ml Strawberry","13882.0","6","83292.0","0.0","83292.0","8329.2","0","0","","","","","","","",""
"OF","02221","Nossy Shampo Motor 15 Ml Pack/6","891.0","72","64152.0","0.0","64152.0","6415.2","0","0","","","","","","","",""
"OF","02442","BDL Papaya Body Wash 245ml","17018.0","6","102108.0","5105.4","97002.6","9700.3","0","0","","","","","","","",""
"FK","2","0","0000000000108","7","2019","2019-01-02","07.143.526.7-202.000","TOKO KUE BUDIMAN (Yasmar)","Jl.Dr.Hamka No.1 Air Tawar Padang","305676.0","30567.6","0","","0","0","0","0","19.000009"
"FAPR","PT MIRANTI ADILHA","GAJAH MADA NO 3 RT. 000 RW. 000 , PADANG","","7","","","","","","","","","","","","","",""
"OF","02149","BDL Papaya Soap With Vit ACE 128 gr","8509.0","12","102108.0","0.0","102108.0","10210.8","0","0","","","","","","","",""
