ID,PROPINSI,KABUPATEN,KECAMATAN,KELURAHAN,KODEPOS
71809,Sumatera Barat,Padang,Bungus Teluk Kabung,Bungus Barat,25237
71810,Sumatera Barat,Padang,Bungus Teluk Kabung,Bungus Selatan,25237
71811,Sumatera Barat,Padang,Bungus Teluk Kabung,Bungus Timur,25237
71812,Sumatera Barat,Padang,Bungus Teluk Kabung,Teluk Kabung Selatan,25237
71813,Sumatera Barat,Padang,Bungus Teluk Kabung,Teluk Kabung Tengah,25237
71814,Sumatera Barat,Padang,Bungus Teluk Kabung,Teluk Kabung Utara,25237
71815,Sumatera Barat,Padang,Koto Tangah,Air Pacah,25176
71816,Sumatera Barat,Padang,Koto Tangah,Balai Gadang,25171
71817,Sumatera Barat,Padang,Koto Tangah,Batang Kabung (K Ganting),25172
71818,Sumatera Barat,Padang,Koto Tangah,Batipuh Panjang,25171
71819,Sumatera Barat,Padang,Koto Tangah,Bungo Pasang,25171
71820,Sumatera Barat,Padang,Koto Tangah,Dadok Tunggul Hitam,25176
71821,Sumatera Barat,Padang,Koto Tangah,Koto Panjang Ikua Koto,25175
71822,Sumatera Barat,Padang,Koto Tangah,Koto Pulai,25171
71823,Sumatera Barat,Padang,Koto Tangah,Lubuk Buaya,25173
71824,Sumatera Barat,Padang,Koto Tangah,Lubuk Minturun,25175
71825,Sumatera Barat,Padang,Koto Tangah,Padang Sarai,25173
71826,Sumatera Barat,Padang,Koto Tangah,Parupuk Tabing,25171
71827,Sumatera Barat,Padang,Koto Tangah,Pasir/Pasie Nan Tigo,25171
71828,Sumatera Barat,Padang,Kuranji,Ampang,25154
71829,Sumatera Barat,Padang,Kuranji,Anduring,25151
71830,Sumatera Barat,Padang,Kuranji,Gunung Sarik,25158
71831,Sumatera Barat,Padang,Kuranji,Kalumbuk,25155
71832,Sumatera Barat,Padang,Kuranji,Korong Gadang,25156
71833,Sumatera Barat,Padang,Kuranji,Kuranji,25157
71834,Sumatera Barat,Padang,Kuranji,Lubuk Lintah,25153
71835,Sumatera Barat,Padang,Kuranji,Pasar Ambacang,25152
71836,Sumatera Barat,Padang,Kuranji,Sei/Sungai Sapih,25159
71837,Sumatera Barat,Padang,Lubuk Begalung,Banuaran,25222
71838,Sumatera Barat,Padang,Lubuk Begalung,Batang Taba Nan XX,25223
71839,Sumatera Barat,Padang,Lubuk Begalung,Cengkeh/Cangkeh Nan XX,25225
71840,Sumatera Barat,Padang,Lubuk Begalung,Gates Nan XX,25227
71841,Sumatera Barat,Padang,Lubuk Begalung,Gurun Laweh/Lawas,25221
71842,Sumatera Barat,Padang,Lubuk Begalung,Kampung Baru Nan XX,25225
71843,Sumatera Barat,Padang,Lubuk Begalung,Kampung Jua Nan XX,25225
71844,Sumatera Barat,Padang,Lubuk Begalung,Koto Baru,25227
71845,Sumatera Barat,Padang,Lubuk Begalung,Lubuk Begalung,25221
71846,Sumatera Barat,Padang,Lubuk Begalung,Pagambiran Ampulu (Pangambiran Ampalu) Nan XX,25226
71847,Sumatera Barat,Padang,Lubuk Begalung,Pampangan Nan XX,25227
71848,Sumatera Barat,Padang,Lubuk Begalung,Parak Laweh Pulau Air Nan XX,25223
71849,Sumatera Barat,Padang,Lubuk Begalung,Pitameh Tanjung Saba Nan XX,25224
71850,Sumatera Barat,Padang,Lubuk Begalung,Tanah Sirah Piai Nan XX,25224
